Product Sub-Category,Product Container,Continent,Customer Segment,Product Category,Ship Mode,Order Quantity,Profit,Sales,City,Country / Region,State or Province,Shipping Cost
Binders and Binder Accessories,Small Box,Asia,Corporate,Office Supplies,Express Air,17,-52,112,Manila,Philippines,Région Capitale Nationale,7
Telephones and Communication,Small Pack,South America,Corporate,Technology,Regular Air,69,-14,3348,Buenos Aires,Argentina,Province de Buenos Aires,5
Telephones and Communication,Small Pack,North America,Corporate,Technology,Regular Air,17,-92,825,Savannah,United States of America,Georgia,5
Appliances,Large Box,North America,Small Business,Office Supplies,Express Air,16,-1905,84,Vernon Hills,United States of America,Illinois,49
Appliances,Small Box,South America,Small Business,Office Supplies,Regular Air,67,1298,3534,Buenos Aires,Argentina,Province de Buenos Aires,14
Appliances,Small Box,North America,Small Business,Office Supplies,Regular Air,17,386,897,Albany,United States of America,Oregon,14
Telephones and Communication,Small Box,South America,Small Business,Technology,Regular Air,41,5194,7609,Buenos Aires,Argentina,Province de Buenos Aires,9
Telephones and Communication,Small Box,North America,Small Business,Technology,Regular Air,10,1281,1856,Aloha,United States of America,Oregon,9
Paper,Small Box,North America,Home Office,Office Supplies,Express Air,16,560,811,Brooklyn Park,United States of America,Minnesota,7
Paper,Small Box,Asia,Home Office,Office Supplies,Express Air,64,2499,3245,Delhi,India,National Capital Territory of Delhi,7
Appliances,Large Box,Europe,Corporate,Office Supplies,Regular Air,18,-1324,147,Paris,France,Île-de-France,49
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Express Air,4,-52,26,Surprise,United States of America,Arizona,7
Binders and Binder Accessories,Small Box,North America,Home Office,Office Supplies,Express Air,18,-222,99,Camp Springs,United States of America,Maryland,8
Tables,Jumbo Box,North America,Home Office,Furniture,Delivery Truck,4,265,780,Oakville,United States of America,Missouri,59
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,8,1230,1783,Aberdeen,United States of America,South Dakota,15
Binders and Binder Accessories,Small Box,South America,Corporate,Office Supplies,Regular Air,32,5492,7132,Porto Alegre,Brazil,Rio Grande do Sul,15
Computer Peripherals,Small Pack,Asia,Consumer,Technology,Regular Air,38,974,1265,Hyderabad,India,State of Andhra Pradesh,2
Computer Peripherals,Small Pack,North America,Consumer,Technology,Regular Air,9,86,300,Gadsden,United States of America,Alabama,2
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,6,168,244,Plainfield,United States of America,Illinois,3
Paper,Wrap Bag,Asia,Consumer,Office Supplies,Regular Air,42,204,265,Tokyo,Japan,Tokyo,1
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,1,-9,7,Schenectady,United States of America,New York,5
Binders and Binder Accessories,Small Box,Asia,Corporate,Office Supplies,Regular Air,3,-24,20,Shanghai,China,Shanghai Shi,5
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Express Air,4,-67,66,Edmonds,United States of America,Washington,13
Office Furnishings,Small Box,Asia,Small Business,Furniture,Regular Air,32,685,1667,Shenzhen,China,Guangdong Sheng,20
Office Furnishings,Small Box,North America,Small Business,Furniture,Regular Air,8,-349,417,Mauldin,United States of America,South Carolina,20
Telephones and Communication,Small Pack,Australasia,Corporate,Technology,Regular Air,4,-707,295,Sydney,Australia,New South Wales,3
Computer Peripherals,Small Pack,Australasia,Corporate,Technology,Regular Air,69,838,1088,Sydney,Australia,New South Wales,2
Pens & Art Supplies,Wrap Bag,Asia,Corporate,Office Supplies,Regular Air,11,0,65,Riyadh,Saudi Arabia,Ar Riyad,1
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,11,-57,77,Watertown,United States of America,Wisconsin,6
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,43,-147,301,Montreal,Canada,Quebec,6
Pens & Art Supplies,Wrap Bag,North America,Corporate,Office Supplies,Regular Air,31,383,601,Montreal,Canada,Quebec,4
Pens & Art Supplies,Wrap Bag,North America,Corporate,Office Supplies,Regular Air,8,208,155,West Palm Beach,United States of America,Florida,4
Rubber Bands,Wrap Bag,Asia,Small Business,Office Supplies,Regular Air,70,118,241,Shenzhen,China,Guangdong Sheng,1
Paper,Small Box,Asia,Consumer,Office Supplies,Regular Air,7,22,330,Delhi,India,National Capital Territory of Delhi,6
Rubber Bands,Wrap Bag,North America,Small Business,Office Supplies,Regular Air,18,-101,62,Long Beach,United States of America,Mississippi,1
Telephones and Communication,Small Box,North America,Home Office,Technology,Regular Air,17,657,952,Clinton,United States of America,Maryland,3
Pens & Art Supplies,Wrap Bag,Europe,Small Business,Office Supplies,Regular Air,32,3,92,Paris,France,Île-de-France,1
Pens & Art Supplies,Wrap Bag,North America,Small Business,Office Supplies,Regular Air,8,1,23,Roswell,United States of America,New Mexico,1
Telephones and Communication,Small Box,North America,Home Office,Technology,Regular Air,16,388,609,Mason,United States of America,Ohio,5
Telephones and Communication,Small Box,Asia,Home Office,Technology,Regular Air,64,1304,2438,Dongguan,China,Guangdong Sheng,5
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,9,-40,212,Winter Springs,United States of America,Florida,13
Envelopes,Small Box,North America,Corporate,Office Supplies,Regular Air,18,349,506,Emporia,United States of America,Kansas,8
Envelopes,Small Box,Asia,Corporate,Office Supplies,Regular Air,70,1516,1969,Kolkata,India,West Bengal,8
Appliances,Medium Box,North America,Home Office,Office Supplies,Regular Air,16,-191,347,Lombard,United States of America,Illinois,14
Paper,Small Box,North America,Consumer,Office Supplies,Regular Air,2,22,94,Bakersfield,United States of America,California,6
Storage & Organization,Small Box,Europe,Small Business,Office Supplies,Regular Air,6,-86,109,Paris,France,Île-de-France,11
Storage & Organization,Small Box,North America,Small Business,Office Supplies,Regular Air,1,-33,18,Roswell,United States of America,New Mexico,11
Tables,Jumbo Box,Africa,Small Business,Furniture,Delivery Truck,63,-1916,7288,Addis Ababa,Ethiopia,Addis Ababa,52
Tables,Large Box,North America,Home Office,Furniture,Regular Air,6,-786,1342,Port Chester,United States of America,New York,69
Tables,Large Box,Europe,Home Office,Furniture,Regular Air,24,-2015,5367,Liverpool,United Kingdom,England,69
Office Machines,Jumbo Drum,Asia,Consumer,Technology,Delivery Truck,42,5691,12206,Riyadh,Saudi Arabia,Ar Riyad,27
Office Machines,Jumbo Drum,North America,Consumer,Technology,Delivery Truck,11,-177,3197,Baton Rouge,United States of America,Louisiana,27
Computer Peripherals,Small Pack,Asia,Corporate,Technology,Regular Air,52,-313,406,Karachi,Pakistan,Sindh,6
Labels,Small Box,North America,Small Business,Office Supplies,Regular Air,12,23,33,Country Club Hills,United States of America,Illinois,1
Labels,Small Box,Europe,Small Business,Office Supplies,Regular Air,48,103,134,Rome,Italy,Lazio,1
Envelopes,Small Box,North America,Corporate,Office Supplies,Regular Air,12,204,314,Oceanside,United States of America,New York,8
Rubber Bands,Wrap Bag,North America,Small Business,Office Supplies,Regular Air,3,0,10,Newburyport,United States of America,Massachusetts,1
Pens & Art Supplies,Wrap Bag,North America,Small Business,Office Supplies,Regular Air,8,19,36,Auburn,United States of America,Maine,1
Paper,Small Box,Asia,Consumer,Office Supplies,Regular Air,36,-154,188,Riyadh,Saudi Arabia,Ar Riyad,5
Paper,Small Box,North America,Consumer,Office Supplies,Regular Air,9,-8,47,Baton Rouge,United States of America,Louisiana,5
Paper,Small Box,North America,Home Office,Office Supplies,Regular Air,13,-82,89,Freeport,United States of America,New York,7
Pens & Art Supplies,Wrap Bag,North America,Home Office,Office Supplies,Regular Air,14,193,279,Freeport,United States of America,New York,4
Paper,Small Box,Europe,Home Office,Office Supplies,Regular Air,50,-211,343,Madrid,Spain,Madrid,7
Pens & Art Supplies,Wrap Bag,Europe,Home Office,Office Supplies,Regular Air,55,845,1097,Madrid,Spain,Madrid,4
Copiers and Fax,Large Box,North America,Home Office,Technology,Regular Air,6,2509,3636,Freeport,United States of America,New York,24
Copiers and Fax,Large Box,Europe,Home Office,Technology,Regular Air,22,10073,13332,Madrid,Spain,Madrid,24
Office Machines,Jumbo Box,North America,Consumer,Technology,Delivery Truck,5,29,1840,Lebanon,United States of America,Tennessee,12
Envelopes,Small Box,Asia,Corporate,Office Supplies,Regular Air,49,204,1282,Guangzhou,China,Guangdong Sheng,8
Office Furnishings,Small Box,Asia,Home Office,Furniture,Regular Air,70,-434,121,Osaka,Japan,Ōsaka,5
Computer Peripherals,Small Pack,Asia,Corporate,Technology,Express Air,29,137,284,Osaka,Japan,Ōsaka,2
Computer Peripherals,Small Pack,North America,Corporate,Technology,Express Air,7,3,68,Concord,United States of America,North Carolina,2
Binders and Binder Accessories,Small Box,Asia,Corporate,Office Supplies,Regular Air,66,784,1134,Osaka,Japan,Ōsaka,5
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,16,24,275,Durham,United States of America,North Carolina,5
Binders and Binder Accessories,Small Box,South America,Home Office,Office Supplies,Regular Air,59,-36,115,Buenos Aires,Argentina,Province de Buenos Aires,1
Envelopes,Small Box,South America,Small Business,Office Supplies,Regular Air,45,192,250,Fortaleza,Brazil,Ceara,1
Pens & Art Supplies,Small Pack,Europe,Consumer,Office Supplies,Express Air,66,-368,783,Rome,Italy,Lazio,8
Pens & Art Supplies,Small Pack,North America,Consumer,Office Supplies,Express Air,16,-19,190,La Vergne,United States of America,Tennessee,8
Pens & Art Supplies,Wrap Bag,North America,Corporate,Office Supplies,Regular Air,15,18,44,Mentor,United States of America,Ohio,1
Labels,Small Box,North America,Home Office,Office Supplies,Regular Air,8,18,25,Gorham,United States of America,Maine,0
Pens & Art Supplies,Wrap Bag,Asia,Corporate,Office Supplies,Regular Air,62,60,181,Kolkata,India,West Bengal,1
Binders and Binder Accessories,Small Box,Asia,Corporate,Office Supplies,Regular Air,15,638,947,Osaka,Japan,Ōsaka,10
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,4,40,252,Durham,United States of America,North Carolina,10
Office Machines,Jumbo Box,South America,Consumer,Technology,Delivery Truck,59,696,7015,Buenos Aires,Argentina,Province de Buenos Aires,56
Computer Peripherals,Small Pack,North America,Corporate,Technology,Regular Air,2,-59,80,Minnetonka,United States of America,Minnesota,2
Computer Peripherals,Small Pack,South America,Corporate,Technology,Regular Air,7,-152,279,Buenos Aires,Argentina,Province de Buenos Aires,2
Envelopes,Small Box,North America,Home Office,Office Supplies,Regular Air,16,-148,355,Fort Smith,United States of America,Arkansas,7
Paper,Small Box,North America,Consumer,Office Supplies,Regular Air,55,-220,335,Atlanta,United States of America,Georgia,8
Tables,Jumbo Box,North America,Corporate,Furniture,Delivery Truck,15,-1807,497,Utica,United States of America,New York,46
Tables,Jumbo Box,Africa,Corporate,Furniture,Delivery Truck,59,-4637,1957,Cairo,Egypt,Al Qahirah,46
Binders and Binder Accessories,Small Box,Africa,Small Business,Office Supplies,Regular Air,70,617,2106,Lagos,Nigeria,Lagos State,3
"Scissors, Rulers and Trimmers",Wrap Bag,Asia,Small Business,Office Supplies,Regular Air,46,-123,145,Osaka,Japan,Ōsaka,2
"Scissors, Rulers and Trimmers",Wrap Bag,North America,Small Business,Office Supplies,Regular Air,12,-48,38,Dublin,United States of America,California,2
Binders and Binder Accessories,Small Box,Asia,Home Office,Office Supplies,Express Air,20,468,608,Beijing,China,Beijing,1
Pens & Art Supplies,Wrap Bag,North America,Corporate,Office Supplies,Regular Air,9,-2,53,Cottage Grove,United States of America,Minnesota,2
Pens & Art Supplies,Wrap Bag,Asia,Corporate,Office Supplies,Regular Air,38,-4,225,Beijing,China,Beijing,2
Appliances,Small Box,North America,Small Business,Office Supplies,Regular Air,12,569,825,Sanford,United States of America,Maine,4
Paper,Small Box,North America,Small Business,Office Supplies,Regular Air,4,22,163,Paterson,United States of America,New Jersey,17
Appliances,Small Box,Asia,Small Business,Office Supplies,Regular Air,46,2306,3163,Kolkata,India,West Bengal,4
Paper,Small Box,South America,Small Business,Office Supplies,Regular Air,17,73,692,Sao Paulo,Brazil,São Paulo,17
Computer Peripherals,Small Box,North America,Home Office,Technology,Regular Air,6,-315,242,Taylor,United States of America,Michigan,20
Binders and Binder Accessories,Small Box,North America,Small Business,Office Supplies,Regular Air,17,353,511,Granite Bay,United States of America,California,3
Computer Peripherals,Small Box,Asia,Home Office,Technology,Regular Air,24,-808,969,Guangzhou,China,Guangdong Sheng,20
Appliances,Medium Box,North America,Corporate,Office Supplies,Regular Air,1,-7,21,Lincoln,United States of America,Nebraska,7
Tables,Jumbo Box,North America,Small Business,Furniture,Delivery Truck,18,-469,3072,East Hartford,United States of America,Connecticut,52
Tables,Jumbo Box,Asia,Small Business,Furniture,Delivery Truck,70,-1202,11945,Kolkata,India,West Bengal,52
Paper,Wrap Bag,North America,Corporate,Office Supplies,Regular Air,16,119,172,Cottage Grove,United States of America,Minnesota,2
Paper,Wrap Bag,Asia,Corporate,Office Supplies,Regular Air,63,521,677,Beijing,China,Beijing,2
Labels,Small Box,North America,Home Office,Office Supplies,Regular Air,16,42,61,Marion,United States of America,Iowa,1
Rubber Bands,Wrap Bag,South America,Home Office,Office Supplies,Regular Air,21,-71,44,Lima,Peru,Provincia de Lima,3
Office Furnishings,Small Box,North America,Consumer,Furniture,Regular Air,2,19,28,Fairfield,United States of America,Ohio,9
Binders and Binder Accessories,Small Box,North America,Home Office,Office Supplies,Regular Air,9,-49,48,Inver Grove Heights,United States of America,Minnesota,5
Telephones and Communication,Wrap Bag,Asia,Corporate,Technology,Regular Air,3,-112,54,Manila,Philippines,Région Capitale Nationale,3
Binders and Binder Accessories,Small Box,North America,Home Office,Office Supplies,Regular Air,36,-54,193,Seattle,United States of America,Washington,5
Storage & Organization,Small Box,North America,Consumer,Office Supplies,Regular Air,22,6,384,New York City,United States of America,New York,5
Rubber Bands,Wrap Bag,North America,Home Office,Office Supplies,Regular Air,14,7,31,Inver Grove Heights,United States of America,Minnesota,1
Rubber Bands,Wrap Bag,North America,Home Office,Office Supplies,Regular Air,55,7,121,Seattle,United States of America,Washington,1
Office Furnishings,Wrap Bag,North America,Home Office,Furniture,Regular Air,10,15,71,Inver Grove Heights,United States of America,Minnesota,4
Office Furnishings,Wrap Bag,North America,Home Office,Furniture,Regular Air,39,13,278,Seattle,United States of America,Washington,4
Paper,Small Box,North America,Consumer,Office Supplies,Regular Air,48,-92,320,New York City,United States of America,New York,7
Binders and Binder Accessories,Small Box,South America,Consumer,Office Supplies,Regular Air,8,7578,10356,Rio de Janeiro,Brazil,Rio de Janeiro,20
Computer Peripherals,Small Box,North America,Consumer,Technology,Regular Air,13,-67,420,Fairfield,United States of America,Ohio,7
Tables,Jumbo Box,Asia,Consumer,Furniture,Delivery Truck,14,-1110,3700,Karachi,Pakistan,Sindh,63
Telephones and Communication,Wrap Bag,North America,Corporate,Technology,Regular Air,1,-112,18,Surprise,United States of America,Arizona,3
Labels,Small Box,Asia,Small Business,Office Supplies,Regular Air,28,96,124,Bangkok,Thailand,Krung Thep Mahanakhon,1
Labels,Small Box,North America,Small Business,Office Supplies,Regular Air,7,21,31,San Luis Obispo,United States of America,California,1
Office Furnishings,Large Box,Asia,Small Business,Furniture,Regular Air,15,2512,3262,Bangkok,Thailand,Krung Thep Mahanakhon,21
Office Furnishings,Large Box,North America,Small Business,Furniture,Regular Air,4,600,870,San Luis Obispo,United States of America,California,21
Chairs & Chairmats,Jumbo Drum,North America,Corporate,Furniture,Delivery Truck,2,-180,196,Richardson,United States of America,Texas,42
Chairs & Chairmats,Jumbo Drum,Asia,Corporate,Furniture,Delivery Truck,7,-463,685,Surat,India,Gujarat,42
Binders and Binder Accessories,Small Box,South America,Home Office,Office Supplies,Regular Air,1,-2164,1786,Buenos Aires,Argentina,Province de Buenos Aires,20
Chairs & Chairmats,Jumbo Drum,South America,Home Office,Furniture,Delivery Truck,6,-1064,1683,BogotÃ¡,Colombia,Bogotá D.C.,50
Chairs & Chairmats,Jumbo Drum,North America,Home Office,Furniture,Delivery Truck,1,-415,280,Twentynine Palms,United States of America,California,50
Office Furnishings,Medium Box,Asia,Small Business,Furniture,Regular Air,14,-426,880,Kanpur,India,Uttar Pradesh,52
Office Machines,Medium Box,North America,Home Office,Technology,Regular Air,12,-7,211,Mesa,United States of America,Arizona,9
Office Furnishings,Medium Box,North America,Small Business,Furniture,Regular Air,4,-166,251,Coos Bay,United States of America,Oregon,52
Storage & Organization,Small Box,Asia,Small Business,Office Supplies,Express Air,32,27,537,Kanpur,India,Uttar Pradesh,6
Storage & Organization,Small Box,North America,Small Business,Office Supplies,Express Air,8,8,134,Coos Bay,United States of America,Oregon,6
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,53,-96,292,Chicago,United States of America,Illinois,6
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,13,-88,72,Anaheim,United States of America,California,6
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,15,3024,4382,Massillon,United States of America,Ohio,20
Binders and Binder Accessories,Small Box,Asia,Corporate,Office Supplies,Regular Air,59,13272,17237,Tianjin,China,Tianjin Shi,20
Appliances,Small Box,Europe,Home Office,Office Supplies,Regular Air,6,-126,361,London,United Kingdom,England,13
Appliances,Small Box,North America,Home Office,Office Supplies,Regular Air,1,-49,60,Springville,United States of America,Utah,13
Telephones and Communication,Small Pack,North America,Consumer,Technology,Regular Air,6,90,175,Bethpage,United States of America,New York,3
Telephones and Communication,Small Box,Asia,Small Business,Technology,Regular Air,30,398,3274,Bangalore,India,Karnataka,3
Telephones and Communication,Small Pack,North America,Consumer,Technology,Regular Air,22,83,642,New York City,United States of America,New York,3
Telephones and Communication,Small Box,North America,Small Business,Technology,Regular Air,16,639,926,Lorain,United States of America,Ohio,5
Telephones and Communication,Small Box,North America,Small Business,Technology,Regular Air,63,2748,3646,Mexico City,Mexico,Distrito Federal,5
Chairs & Chairmats,Jumbo Drum,North America,Consumer,Furniture,Delivery Truck,14,836,2209,Canton,United States of America,Michigan,30
Chairs & Chairmats,Jumbo Drum,North America,Consumer,Furniture,Delivery Truck,55,768,8677,New York City,United States of America,New York,30
Binders and Binder Accessories,Small Box,North America,Home Office,Office Supplies,Regular Air,62,334,1412,Houston,United States of America,Texas,3
Binders and Binder Accessories,Small Box,North America,Home Office,Office Supplies,Regular Air,15,236,342,York,United States of America,Pennsylvania,3
Paper,Small Box,North America,Small Business,Office Supplies,Regular Air,8,-131,174,Kent,United States of America,Ohio,17
Office Machines,Jumbo Box,North America,Corporate,Technology,Delivery Truck,60,432,4802,Chicago,United States of America,Illinois,30
Office Machines,Jumbo Box,North America,Corporate,Technology,Delivery Truck,15,470,1200,Anaheim,United States of America,California,30
Telephones and Communication,Small Box,North America,Small Business,Technology,Regular Air,8,398,873,Grand Junction,United States of America,Colorado,3
Telephones and Communication,Small Box,North America,Consumer,Technology,Regular Air,1,-718,175,Pottstown,United States of America,Pennsylvania,6
Office Furnishings,Small Pack,North America,Home Office,Furniture,Regular Air,11,55,170,Muskego,United States of America,Wisconsin,9
Office Furnishings,Small Pack,North America,Home Office,Furniture,Regular Air,43,51,666,Houston,United States of America,Texas,9
Paper,Small Box,North America,Corporate,Office Supplies,Express Air,6,-61,43,Crystal Lake,United States of America,Illinois,8
Paper,Small Box,South America,Corporate,Office Supplies,Express Air,25,-157,181,Salvador,Brazil,Bahia,8
Computer Peripherals,Small Pack,North America,Consumer,Technology,Regular Air,12,357,517,North Royalton,United States of America,Ohio,2
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,14,-107,89,Crystal Lake,United States of America,Illinois,7
Paper,Small Box,South America,Corporate,Office Supplies,Regular Air,56,-273,358,Salvador,Brazil,Bahia,7
Office Furnishings,Medium Box,South America,Small Business,Furniture,Express Air,34,1378,2058,Buenos Aires,Argentina,Province de Buenos Aires,11
Binders and Binder Accessories,Small Box,North America,Small Business,Office Supplies,Express Air,4,-8,66,Perry Hall,United States of America,Maryland,8
Tables,Jumbo Drum,Asia,Consumer,Furniture,Delivery Truck,58,4504,20955,Jalandhar,India,Punjab,60
Binders and Binder Accessories,Small Box,North America,Small Business,Office Supplies,Express Air,14,-9,231,Seattle,United States of America,Washington,8
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,3,58,84,Burbank,United States of America,Illinois,3
Binders and Binder Accessories,Small Box,North America,Small Business,Office Supplies,Regular Air,16,-8,144,Oshkosh,United States of America,Wisconsin,6
Binders and Binder Accessories,Small Box,North America,Small Business,Office Supplies,Regular Air,63,-20,568,Guadalajara,Mexico,Jalisco,6
Appliances,Small Box,North America,Home Office,Office Supplies,Regular Air,15,8,172,College Park,United States of America,Georgia,5
Appliances,Small Box,North America,Small Business,Office Supplies,Regular Air,2,3,81,Overland Park,United States of America,Kansas,5
Paper,Wrap Bag,Asia,Consumer,Office Supplies,Regular Air,43,510,662,Guangzhou,China,Guangdong Sheng,2
Paper,Wrap Bag,North America,Consumer,Office Supplies,Regular Air,11,41,169,Anderson,United States of America,South Carolina,2
Office Furnishings,Jumbo Drum,Europe,Consumer,Furniture,Delivery Truck,28,-451,653,Prague,Czech Republic,Praha,16
Office Furnishings,Jumbo Drum,North America,Consumer,Furniture,Delivery Truck,7,-116,163,Poinciana,United States of America,Florida,16
Storage & Organization,Small Box,Australasia,Corporate,Office Supplies,Regular Air,40,-910,1030,Suva,Fiji,Central,20
Tables,Jumbo Drum,North America,Consumer,Furniture,Delivery Truck,15,3739,5419,Longview,United States of America,Washington,60
Office Machines,Medium Box,North America,Consumer,Technology,Regular Air,46,-38,614,Los Angeles,United States of America,California,8
Paper,Wrap Bag,North America,Consumer,Office Supplies,Regular Air,11,25,54,Brooklyn,United States of America,New York,2
Paper,Wrap Bag,Asia,Consumer,Office Supplies,Regular Air,45,82,222,Guangzhou,China,Guangdong Sheng,2
Telephones and Communication,Small Box,South America,Home Office,Technology,Express Air,17,-101,1659,Sao Paulo,Brazil,São Paulo,3
Appliances,Small Box,Asia,Corporate,Office Supplies,Express Air,1,-60,68,Istanbul,Turkey,Istanbul,14
Storage & Organization,Large Box,South America,Corporate,Office Supplies,Express Air,46,-1071,5080,Rio de Janeiro,Brazil,Rio de Janeiro,35
Binders and Binder Accessories,Small Box,North America,Home Office,Office Supplies,Regular Air,15,-14,30,West Seneca,United States of America,New York,1
Pens & Art Supplies,Wrap Bag,North America,Home Office,Office Supplies,Regular Air,24,9,96,Mexico City,Mexico,Distrito Federal,1
Pens & Art Supplies,Wrap Bag,North America,Home Office,Office Supplies,Regular Air,6,57,24,North Charleston,United States of America,South Carolina,1
Tables,Jumbo Box,North America,Corporate,Furniture,Delivery Truck,16,-2427,1244,Milwaukee,United States of America,Wisconsin,89
Envelopes,Small Box,North America,Corporate,Office Supplies,Regular Air,16,171,248,Kirkwood,United States of America,Missouri,1
Chairs & Chairmats,Jumbo Drum,North America,Corporate,Furniture,Delivery Truck,4,858,2023,Milwaukee,United States of America,Wisconsin,26
Tables,Jumbo Box,South America,Corporate,Furniture,Delivery Truck,63,-6227,4900,Recife,Brazil,Pernambuco,89
Chairs & Chairmats,Jumbo Drum,South America,Corporate,Furniture,Delivery Truck,14,2888,7080,Recife,Brazil,Pernambuco,26
Appliances,Small Box,North America,Small Business,Office Supplies,Express Air,10,287,417,Mansfield,United States of America,Ohio,5
Appliances,Small Box,North America,Small Business,Office Supplies,Express Air,39,1108,1624,Mexico City,Mexico,Distrito Federal,5
Telephones and Communication,Small Box,Asia,Corporate,Technology,Regular Air,43,947,2407,Zibo,China,Shandong Sheng,9
Telephones and Communication,Small Box,North America,Corporate,Technology,Regular Air,11,137,616,Hinesville,United States of America,Georgia,9
Office Furnishings,Wrap Bag,North America,Small Business,Furniture,Regular Air,7,211,306,Bangor,United States of America,Maine,5
Labels,Small Box,South America,Home Office,Office Supplies,Express Air,6,34,44,Rio de Janeiro,Brazil,Rio de Janeiro,1
Tables,Jumbo Box,North America,Home Office,Furniture,Delivery Truck,16,-2767,1183,Mission Viejo,United States of America,California,89
Envelopes,Small Box,Asia,Corporate,Office Supplies,Regular Air,65,336,1008,Manila,Philippines,Région Capitale Nationale,1
Bookcases,Jumbo Box,North America,Consumer,Furniture,Delivery Truck,11,-1042,1174,Pontiac,United States of America,Michigan,57
Chairs & Chairmats,Jumbo Drum,North America,Consumer,Furniture,Delivery Truck,6,49,1331,Cudahy,United States of America,Wisconsin,64
Chairs & Chairmats,Jumbo Drum,Asia,Consumer,Furniture,Delivery Truck,22,164,4881,Seoul,Republic of Korea,Soul,64
Chairs & Chairmats,Jumbo Drum,North America,Home Office,Furniture,Delivery Truck,14,5174,7499,Wilkes Barre,United States of America,Pennsylvania,26
Chairs & Chairmats,Jumbo Drum,Asia,Home Office,Furniture,Delivery Truck,56,23097,29996,Tokyo,Japan,Tokyo,26
Computer Peripherals,Small Box,North America,Corporate,Technology,Regular Air,11,83,166,East Haven,United States of America,Connecticut,4
Computer Peripherals,Small Box,South America,Corporate,Technology,Regular Air,42,280,635,Buenos Aires,Argentina,Province de Buenos Aires,4
Chairs & Chairmats,Jumbo Drum,South America,Small Business,Furniture,Delivery Truck,18,-1690,2242,Sao Paulo,Brazil,São Paulo,70
Paper,Wrap Bag,South America,Small Business,Office Supplies,Regular Air,43,210,273,Sao Paulo,Brazil,São Paulo,1
Storage & Organization,Small Box,North America,Consumer,Office Supplies,Regular Air,3,-55,52,Cudahy,United States of America,Wisconsin,7
Rubber Bands,Wrap Bag,North America,Small Business,Office Supplies,Regular Air,8,13,21,Morristown,United States of America,New Jersey,1
Storage & Organization,Small Box,Asia,Consumer,Office Supplies,Regular Air,11,-140,190,Seoul,Republic of Korea,Soul,7
Storage & Organization,Small Box,North America,Small Business,Office Supplies,Regular Air,11,-108,161,Roosevelt,United States of America,New York,9
Storage & Organization,Small Box,Asia,Small Business,Office Supplies,Regular Air,43,-278,631,Guangzhou,China,Guangdong Sheng,9
Storage & Organization,Small Box,South America,Small Business,Office Supplies,Regular Air,25,-267,403,Sao Paulo,Brazil,São Paulo,7
Office Machines,Jumbo Drum,Africa,Home Office,Technology,Delivery Truck,45,6330,8221,Casablanca,Morocco,Région du Grand Casablanca,16
Office Machines,Jumbo Drum,North America,Home Office,Technology,Delivery Truck,11,1226,2010,Hinesville,United States of America,Georgia,16
Appliances,Small Box,Asia,Corporate,Office Supplies,Regular Air,29,-43,354,Jaipur,India,Rajhasthan,5
Chairs & Chairmats,Large Box,North America,Consumer,Furniture,Regular Air,3,59,440,Lancaster,United States of America,Pennsylvania,24
Chairs & Chairmats,Large Box,North America,Consumer,Furniture,Regular Air,11,197,1614,Mexico City,Mexico,Distrito Federal,24
Labels,Small Box,North America,Home Office,Office Supplies,Regular Air,1,1,5,Santa Clara,United States of America,California,1
Rubber Bands,Wrap Bag,Asia,Small Business,Office Supplies,Regular Air,30,13,80,Bangkok,Thailand,Krung Thep Mahanakhon,1
Office Furnishings,Wrap Bag,North America,Consumer,Furniture,Regular Air,59,652,2230,New York City,United States of America,New York,3
Office Furnishings,Wrap Bag,North America,Consumer,Furniture,Regular Air,15,391,567,Seattle,United States of America,Washington,3
Office Furnishings,Large Box,North America,Consumer,Furniture,Express Air,17,464,1868,New York City,United States of America,New York,24
Office Furnishings,Large Box,North America,Consumer,Furniture,Express Air,4,-2549,439,Rose Hill,United States of America,Virginia,24
Chairs & Chairmats,Jumbo Drum,North America,Small Business,Furniture,Delivery Truck,11,-394,797,Wichita,United States of America,Kansas,30
Chairs & Chairmats,Jumbo Drum,Asia,Small Business,Furniture,Delivery Truck,43,-1012,3115,Osaka,Japan,Ōsaka,30
Office Furnishings,Wrap Bag,North America,Corporate,Furniture,Regular Air,55,-824,3738,Washington,United States of America,District of Columbia,38
Office Furnishings,Wrap Bag,North America,Corporate,Furniture,Regular Air,14,-752,952,Eagle,United States of America,Idaho,38
